Color,Range Min,Range Max
Red,"(150, 0, 0)","(255, 100, 100)"
Green,"(0, 100, 0)","(100, 255, 100)"
Blue,"(0, 0, 150)","(100, 100, 255)"
Yellow,"(150, 150, 0)","(255, 255, 100)"
Cyan (Light Blue),"(0, 150, 150)","(100, 255, 255)"
Magenta (Pinkish-Purple),"(150, 0, 150)","(255, 100, 255)"
White,"(200, 200, 200)","(255, 255, 255)"
Black,"(0, 0, 0)","(50, 50, 50)"
Gray,"(50, 50, 50)","(150, 150, 150)"
Orange,"(200, 100, 0)","(255, 165, 50)"
Purple,"(75, 0, 130)","(150, 50, 200)"
Brown,"(100, 40, 0)","(150, 75, 50)"
Pink,"(255, 150, 150)","(255, 192, 203)"
Violet,"(143, 0, 255)","(238, 130, 238)"
Teal,"(0, 128, 128)","(0, 180, 180)"
